"constructor_Standings_ID","race_ID","constructor_ID","points","position","position_Text","wins"
571,118,80,0,17,"17",0
572,118,81,0,9,"9",0
573,118,82,4,8,"8",0
574,118,83,15,5,"5",0
575,118,85,0,13,"13",0
576,118,86,0,15,"15",0
577,118,89,0,11,"11",0
578,118,90,0,10,"10",0
579,118,91,6,6,"6",0
580,118,92,0,16,"16",0
581,119,7,24,3,"3",1
582,119,34,35,2,"2",2
583,119,57,5,7,"7",0
584,119,59,21,4,"4",0
585,119,60,0,15,"15",0
586,119,74,51,1,"1",5
587,119,77,0,13,"13",0
588,119,80,0,18,"18",0
589,119,81,0,9,"9",0
590,119,82,4,8,"8",0
591,119,83,18,5,"5",0
592,119,85,0,14,"14",0
593,119,86,0,16,"16",0
594,119,89,0,12,"12",0
595,119,90,0,11,"11",0
596,119,91,6,6,"6",0
597,119,92,0,17,"17",0
598,119,93,0,10,"10",0
599,120,7,24,3,"3",1
600,120,34,36,2,"2",2
601,120,57,5,7,"7",0
602,120,58,0,15,"15",0
603,120,59,23,5,"5",0
604,120,60,0,16,"16",0
605,120,74,54,1,"1",6
606,120,77,0,13,"13",0
607,120,80,0,19,"19",0
608,120,81,0,9,"9",0
609,120,82,4,8,"8",0
610,120,83,24,4,"4",0
611,120,85,0,14,"14",0
612,120,86,0,17,"17",0
613,120,89,0,12,"12",0
614,120,90,0,11,"11",0
615,120,91,6,6,"6",0
616,120,92,0,18,"18",0
617,120,93,0,10,"10",0
618,121,1,0,16,"16",0
619,121,7,26,4,"4",1
620,121,34,36,2,"2",2
621,121,57,5,7,"7",0
622,121,58,0,19,"19",0
623,121,59,25,5,"5",0
624,121,60,0,14,"14",0
625,121,74,54,1,"1",7
626,121,77,0,17,"17",0
627,121,80,0,22,"22",0
628,121,81,0,9,"9",0
629,121,82,4,8,"8",0
630,121,83,28,3,"3",0
631,121,85,0,18,"18",0
632,121,86,0,20,"20",0
633,121,88,0,13,"13",0
634,121,89,0,12,"12",0
635,121,90,0,11,"11",0
636,121,91,6,6,"6",0
637,121,92,0,21,"21",0
638,121,93,0,10,"10",0
639,121,94,0,15,"15",0
640,122,7,0,6,"6",0
641,122,34,9,1,"1",1
642,122,59,2,3,"3",0
643,122,74,4,2,"2",0
644,122,82,1,4,"4",0
645,122,90,0,8,"8",0
646,122,91,0,7,"7",0
647,122,95,0,5,"5",0
648,123,7,6,3,"3",0
649,123,34,12,2,"2",1
650,123,57,0,9,"9",0
651,123,59,2,5,"5",0
652,123,74,13,1,"1",1
653,123,82,3,4,"4",0
654,123,90,0,10,"10",0
655,123,91,0,8,"8",0
656,123,95,1,6,"6",0
657,123,96,0,7,"7",0
658,124,7,6,4,"4",0
659,124,34,15,2,"2",1
660,124,57,0,10,"10",0
661,124,59,8,3,"3",0
662,124,74,22,1,"1",2
663,124,82,3,6,"6",0
664,124,90,0,9,"9",0
665,124,91,0,7,"7",0
666,124,95,5,5,"5",0
667,124,96,0,8,"8",0
668,125,7,6,5,"5",0
669,125,34,21,2,"2",1
670,125,57,0,10,"10",0
671,125,59,9,4,"4",0
672,125,74,25,1,"1",2
673,125,82,3,6,"6",0
674,125,90,0,9,"9",0
675,125,91,0,7,"7",0
676,125,95,14,3,"3",1
677,125,96,0,8,"8",0
678,126,7,10,4,"4",0
679,126,34,27,2,"2",1
680,126,57,0,10,"10",0
681,126,59,10,5,"5",0
682,126,74,34,1,"1",3
683,126,82,3,6,"6",0
684,126,90,0,9,"9",0
685,126,91,0,7,"7",0
686,126,95,17,3,"3",1
687,126,96,0,8,"8",0
688,126,97,0,11,"11",0
689,127,7,19,3,"3",1
690,127,34,33,2,"2",1
691,127,57,0,11,"11",0
692,127,59,10,5,"5",0
693,127,74,34,1,"1",3
694,127,82,3,7,"7",0
695,127,90,0,10,"10",0
696,127,91,0,8,"8",0
697,127,95,17,4,"4",1
698,127,96,3,6,"6",0
699,127,97,0,12,"12",0
700,127,98,0,9,"9",0
701,128,7,28,3,"3",2
702,128,34,36,1,"1",1
703,128,57,0,11,"11",0
704,128,59,10,5,"5",0
705,128,74,34,2,"2",3
706,128,82,3,7,"7",0
707,128,90,0,10,"10",0
708,128,91,2,8,"8",0
709,128,95,21,4,"4",1
710,128,96,3,6,"6",0
711,128,97,0,12,"12",0
712,128,98,0,9,"9",0
713,129,7,37,1,"1",3
714,129,34,36,2,"2",1
715,129,57,0,12,"12",0
716,129,59,16,5,"5",0
717,129,74,35,3,"3",3
718,129,82,3,8,"8",0
719,129,90,0,10,"10",0
720,129,91,4,6,"6",0
721,129,95,21,4,"4",1
722,129,96,3,7,"7",0
723,129,97,0,13,"13",0
724,129,98,0,9,"9",0
725,129,99,0,11,"11",0
726,130,7,43,1,"1",3
727,130,34,42,2,"2",2
728,130,57,0,12,"12",0
729,130,59,16,5,"5",0
730,130,74,36,3,"3",3
731,130,82,3,8,"8",0
732,130,90,0,10,"10",0
733,130,91,5,7,"7",0
734,130,95,21,4,"4",1
735,130,96,7,6,"6",0
736,130,97,0,13,"13",0
737,130,98,0,9,"9",0
738,130,99,0,11,"11",0
739,131,7,45,1,"1",3
740,131,34,42,2,"2",2
741,131,57,0,12,"12",0
742,131,59,16,5,"5",0
743,131,74,37,3,"3",3
744,131,82,3,8,"8",0
745,131,90,0,10,"10",0
746,131,91,5,7,"7",0
747,131,95,30,4,"4",2
748,131,96,7,6,"6",0
749,131,97,0,13,"13",0
750,131,98,0,9,"9",0
751,131,99,0,11,"11",0
752,132,1,0,8,"8",0
753,132,7,6,2,"2",0
754,132,34,4,3,"3",0
755,132,59,2,4,"4",0
756,132,60,0,15,"15",0
757,132,74,9,1,"1",1
758,132,82,0,9,"9",0
759,132,94,0,13,"13",0
760,132,95,0,6,"6",0
761,132,96,0,5,"5",0
762,132,97,0,7,"7",0
763,132,100,0,11,"11",0
764,132,101,0,10,"10",0
765,132,102,0,12,"12",0
766,132,103,0,14,"14",0
767,133,1,0,8,"8",0
768,133,7,12,2,"2",0
769,133,34,13,1,"1",1
770,133,59,4,4,"4",0
771,133,60,0,16,"16",0
772,133,74,9,3,"3",1
773,133,82,0,9,"9",0
774,133,94,0,14,"14",0
775,133,95,0,6,"6",0
776,133,96,1,5,"5",0
777,133,97,0,7,"7",0
778,133,98,0,11,"11",0
779,133,100,0,12,"12",0
780,133,101,0,10,"10",0
781,133,102,0,13,"13",0
782,133,103,0,15,"15",0
783,134,1,0,9,"9",0
784,134,7,12,3,"3",0
785,134,34,19,1,"1",1
786,134,59,8,4,"4",0
787,134,60,0,16,"16",0
788,134,74,18,2,"2",2
789,134,82,0,10,"10",0
790,134,94,0,14,"14",0
791,134,95,3,5,"5",0
792,134,96,1,6,"6",0
793,134,97,0,8,"8",0
794,134,98,1,7,"7",0
795,134,100,0,12,"12",0
796,134,101,0,11,"11",0
797,134,102,0,13,"13",0
798,134,103,0,15,"15",0
799,135,1,0,9,"9",0
800,135,7,16,3,"3",0
801,135,34,25,2,"2",1
802,135,59,8,4,"4",0
803,135,60,0,16,"16",0
804,135,74,27,1,"1",3
805,135,82,0,10,"10",0
806,135,94,0,14,"14",0
807,135,95,6,5,"5",0
808,135,96,2,6,"6",0
809,135,97,0,8,"8",0
810,135,98,1,7,"7",0
811,135,100,0,12,"12",0
812,135,101,0,11,"11",0
813,135,102,0,13,"13",0
814,135,103,0,15,"15",0
815,136,1,0,9,"9",0
816,136,7,20,3,"3",0
817,136,34,31,2,"2",1
818,136,59,8,4,"4",0
819,136,60,0,16,"16",0
820,136,74,36,1,"1",4
821,136,82,0,10,"10",0
822,136,94,0,14,"14",0
823,136,95,7,5,"5",0
824,136,96,2,6,"6",0
825,136,97,0,8,"8",0
826,136,98,1,7,"7",0
827,136,100,0,12,"12",0
828,136,101,0,11,"11",0
829,136,102,0,13,"13",0
830,136,103,0,15,"15",0
831,137,1,0,10,"10",0
832,137,7,20,3,"3",0
833,137,34,37,2,"2",1
834,137,59,8,5,"5",0
835,137,60,0,16,"16",0
836,137,74,45,1,"1",5
837,137,82,0,9,"9",0
838,137,94,0,14,"14",0
839,137,95,11,4,"4",0
840,137,96,2,6,"6",0
841,137,97,0,8,"8",0
842,137,98,2,7,"7",0
843,137,100,0,12,"12",0
844,137,101,0,11,"11",0
845,137,102,0,13,"13",0
846,137,103,0,15,"15",0
847,138,1,0,10,"10",0
848,138,7,21,3,"3",0
849,138,34,39,2,"2",1
850,138,59,11,5,"5",0
851,138,60,0,16,"16",0
852,138,74,54,1,"1",6
853,138,82,0,9,"9",0
854,138,94,0,14,"14",0
855,138,95,15,4,"4",0
856,138,96,2,6,"6",0
857,138,97,0,8,"8",0
858,138,98,2,7,"7",0
859,138,100,0,12,"12",0
860,138,101,0,11,"11",0
861,138,102,0,13,"13",0
862,138,103,0,15,"15",0
863,139,1,0,10,"10",0
864,139,7,24,3,"3",0
865,139,34,42,2,"2",2
866,139,59,13,5,"5",0
867,139,60,0,16,"16",0
868,139,74,54,1,"1",6
869,139,82,1,8,"8",0
870,139,94,0,14,"14",0
871,139,95,19,4,"4",0
872,139,96,2,6,"6",0
873,139,97,0,9,"9",0
874,139,98,2,7,"7",0
875,139,100,0,12,"12",0
876,139,101,0,11,"11",0
877,139,102,0,13,"13",0
878,139,103,0,15,"15",0
879,140,1,0,10,"10",0
880,140,7,26,3,"3",0
881,140,34,45,2,"2",3
882,140,59,14,5,"5",0
883,140,60,0,16,"16",0
884,140,74,54,1,"1",6
885,140,82,1,8,"8",0
886,140,94,0,14,"14",0
887,140,95,24,4,"4",0
888,140,96,2,6,"6",0
889,140,97,0,9,"9",0
890,140,98,2,7,"7",0
891,140,100,0,12,"12",0
892,140,101,0,11,"11",0
893,140,102,0,13,"13",0
894,140,103,0,15,"15",0
895,141,1,0,10,"10",0
896,141,7,26,4,"4",0
897,141,34,45,2,"2",3
898,141,59,14,5,"5",0
899,141,60,0,16,"16",0
900,141,74,54,1,"1",6
901,141,82,2,8,"8",0
902,141,94,0,14,"14",0
903,141,95,27,3,"3",0
904,141,96,5,7,"7",0
905,141,97,0,9,"9",0
906,141,98,11,6,"6",1
907,141,100,0,12,"12",0
908,141,101,0,11,"11",0
909,141,102,0,13,"13",0
910,141,103,0,15,"15",0
911,142,7,6,2,"2",0
912,142,34,9,1,"1",1
913,142,60,0,3,"3",0
914,142,74,0,4,"4",0
915,142,82,0,6,"6",0
916,142,95,0,8,"8",0
917,142,96,0,5,"5",0
918,142,104,0,7,"7",0
919,142,105,0,9,"9",0
920,143,7,15,1,"1",1
921,143,34,9,2,"2",1
922,143,60,6,3,"3",0
923,143,74,0,6,"6",0
924,143,82,0,7,"7",0
925,143,95,0,9,"9",0
926,143,96,0,8,"8",0
927,143,104,3,4,"4",0
928,143,105,0,10,"10",0
929,143,106,0,5,"5",0
930,143,107,0,11,"11",0
931,144,7,21,1,"1",1
932,144,34,9,3,"3",1
933,144,60,9,4,"4",0
934,144,74,0,8,"8",0
935,144,82,0,9,"9",0
936,144,95,0,7,"7",0
937,144,96,1,6,"6",0
938,144,104,12,2,"2",1
939,144,105,0,10,"10",0
940,144,106,2,5,"5",0
941,144,107,0,11,"11",0
942,145,7,21,2,"2",1
943,145,34,13,3,"3",1
944,145,60,11,4,"4",0
945,145,74,3,5,"5",0
946,145,82,0,11,"11",0
947,145,95,0,9,"9",0
948,145,96,1,7,"7",0
949,145,104,21,1,"1",2
950,145,105,0,12,"12",0
951,145,106,2,6,"6",0
952,145,107,1,8,"8",0
953,145,108,0,10,"10",0
954,145,109,0,13,"13",0
955,146,7,22,2,"2",1
956,146,34,19,3,"3",1
957,146,60,11,4,"4",0
958,146,74,7,5,"5",0
959,146,82,2,7,"7",0
960,146,95,0,10,"10",0
961,146,96,1,8,"8",0
962,146,104,30,1,"1",3
963,146,105,0,12,"12",0
964,146,106,2,6,"6",0
965,146,107,1,9,"9",0
